name,id,date_str,minTemp,medianTemp,cnt
安徽-池州,100,20150807,31.0,33.0,747
安徽-池州,100,20160202,14.0,15.0,370
安徽-池州,100,20160203,23.0,24.0,701
安徽-池州,100,20160205,19.0,19.0,318
安徽-池州,100,20160209,26.0,28.0,200
安徽-池州,100,20160210,15.0,23.0,620
安徽-池州,100,20160217,17.0,18.0,323
安徽-池州,100,20160219,18.0,19.0,371
安徽-池州,100,20160303,19.0,21.0,402
安徽-池州,100,20160304,27.0,27.0,127
安徽-池州,100,20160322,22.0,22.0,146
安徽-池州,100,20160323,21.0,22.0,217
安徽-池州,100,20160324,20.0,21.0,646
安徽-池州,100,20160325,9.0,13.0,386
安徽-池州,100,20160329,23.0,24.0,308
安徽-池州,100,20160401,33.0,33.0,317
安徽-池州,100,20160406,22.0,22.0,332
安徽-池州,100,20160502,27.0,27.0,580
安徽-池州,100,20160514,27.0,28.0,345
安徽-池州,100,20160718,21.0,23.0,291
安徽-池州,100,20160722,31.0,34.0,116
安徽-池州,100,20160723,22.0,26.0,270
安徽-池州,100,20160911,32.0,32.0,12
安徽-池州,100,20160922,31.0,31.0,2
安徽-池州,100,20161001,31.0,31.0,28
安徽-池州,100,20161002,30.0,33.0,67
安徽-池州,100,20161005,31.0,33.0,1183
安徽-池州,100,20161006,32.0,32.0,196
安徽-池州,100,20161031,22.0,24.0,326
安徽-池州,100,20161102,22.0,23.0,363
安徽-池州,100,20161116,22.0,24.0,1445
安徽-池州,100,20161129,9.0,10.0,184
安徽-池州,100,20161130,12.0,12.0,33
安徽-池州,100,20161201,13.0,13.0,3
安徽-池州,100,20161202,12.0,22.0,319
安徽-池州,100,20161203,12.0,14.5,58
安徽-池州,100,20161204,14.0,25.0,600
安徽-池州,100,20161205,12.0,18.0,338
安徽-池州,100,20161208,8.0,8.0,72
安徽-池州,100,20161210,10.0,10.0,30
安徽-池州,100,20161216,3.0,3.0,40
安徽-池州,100,20161226,8.0,9.0,452
安徽-池州,100,20161227,10.0,13.0,3598
安徽-池州,100,20161228,5.0,15.0,577
安徽-池州,100,20161229,4.0,12.0,992
安徽-池州,100,20161230,5.0,10.0,698
安徽-池州,100,20161231,6.0,11.0,1050
安徽-池州,100,20170101,7.0,13.0,933
安徽-池州,100,20170102,10.0,16.0,652
安徽-池州,100,20170103,11.0,15.0,1325
安徽-池州,100,20170104,13.0,20.0,1735
安徽-池州,100,20170105,15.0,16.0,1114
安徽-池州,100,20170106,14.0,16.0,3759
安徽-池州,100,20170107,13.0,15.0,2201
安徽-池州,100,20170108,8.0,17.0,2778
安徽-池州,100,20170109,16.0,19.0,5678
安徽-池州,100,20170110,13.0,18.0,2634
安徽-池州,100,20170111,11.0,16.0,2784
安徽-池州,100,20170112,11.0,17.0,1848
安徽-池州,100,20170113,11.0,14.0,1151
安徽-池州,100,20170114,10.0,11.0,1815
安徽-池州,100,20170115,9.0,21.0,4081
安徽-池州,100,20170116,9.0,18.0,3568
安徽-池州,100,20170117,11.0,13.0,585
安徽-池州,100,20170119,21.0,23.0,176
安徽-池州,100,20170120,4.0,19.0,1019
安徽-池州,100,20170121,21.0,23.0,583
安徽-池州,100,20170122,18.0,24.0,1077
安徽-池州,100,20170123,14.0,19.0,775
安徽-池州,100,20170124,9.0,14.0,569
